"study_alias","study_desc","nct_number"
I4D-MC-E002,LY2606386 with Cytarabine and Fludarabine in Acute Myelogenous Leukemia,
I4D-MC-E005,"Phase I Study of Prexasertib, CHK1 inhibitor, in combination with LY3300054, PD-L1 Antibody",
I4D-MC-E001,Chk1/2 inhibitor in BRCA1/2 mutation associated breast or ovarian cancer,
"0101815",Evaluation of CHK1-Â­independent homologous recombination-Â­mediated DNA repair as a mechanism of prexasertib resistance,
I4D-MC-E006,CHK1 inhibitor in solid tumors with replicative stress or homologous recombination repair deficiency,
I4T-US-X001,A phase II clinical trial of the safety and efficacy of the addition of ramucirumab to nab-paclitaxel in previously treated patients with advanced non-small cell lung cancer (NSCLC),
I4T-SB-O015,A multicenter single-arm pilot study of ramucirumab in combi-nation with dacarbazine in patients with progressive well-differentiated metastatic pancreatic neuroendocrine tumors,
I4T-JE-O021,Phase II Study of 1st. line S-1+RAM for elderly patients with advanced gastric cancer.,
I4T-JE-O043,Phase II study to evaluate the efficacy of erlotinib plus ramucirumab in patients with previously untreated EGFR mutation-positive NSCLC and with malignant pleural effusion,
I4T-US-I031,A phase 1/2 study of combination lorlatinib and ramucirumab in patients with advanced ALK-rearranged lung cancers,
I4T-JE-O048,Prospective observational study evaluating profiling of T cell binding to anti-PD-1 antibody using peripHeral blood as signature for tumor response during ramucirumab and docetaxel after an anti-PD-1 antibody (ENHANCER),
I4T-JE-O036,Single arm study to evaluate the safety and efficacy of ramcirumab in patients with advancded hepatocellular carcinoma failed lenvatinib,
I4T-NS-I034,"S2302, PROJECT PRAGMATICA: A PROSPECTIVE, RANDOMIZED STUDY OF RAMUCIRUMAB (NSC 749128) PLUS PEMBROLIZUMAB (MK-3475; NSC 776864) VERSUS STANDARD OF CARE FOR PARTICIPANTS PREVIOUSLY TREATED WITH IMMUNOTHERAPY FOR STAGE IV OR RECURRENT NON-SMALL CELL LUNG CANCER IN STANDARD PRACTICE",
I4T-JE-O012,PhaseII study of the efficacy and safety of DOCETAXEL + RAMUCIRUMAB for NSCLC wIth brain meTAstasis: RAMNITA study,
I4T-JE-O023,Phase 1b study of ramcirumab in combination with cisplatin plus irinotecan for extensive small-cell lung cancer,
I4T-JE-O040,Multicenter Retrospective Study to Evaluate Docetaxel plus Ramucirumab after Combination Therapy with PD-1 Inhibitor and Chemotherapy in Advanced Non-Small Cell Lung Cancer,
I4T-US-I011,"TH-125: A Randomized Phase 2 Study of Nivolumab plus Ramucirumab in Patients with Recurrent, Advanced, Metastatic Non-Small Cell Lung Carcinoma",
I4T-NS-O037,Phase II study of pembrolizumab + ramucirumab in  metastatic GC as second-line treatment,
I4T-US-I006,Phase II study of ramucirumab with trastuzumab and capecitabine/cisplatin in patients with metastatic HER2-positive gastric cancer,
I4T-US-X002,Ramucirumab plus irinotecan in patients with previously treated advanced gastric or gastro-esophageal junction adenocarcinoma,
I4T-JE-O042,Multicenter Retrospective Study of Ramucirumab-Containing Chemotherapy for previously treated Gastrointestinal Neuroendocrine Carcinoma,
I4T-KL-O014,Ram in combo with Trastuzumab and Weekly Pac in HER+ Gastric,
I4T-US-X003,"A Randomized Phase II Trial of Carboplatin-Paclitaxel with or without Ramucirumab in Patients with Unresectable Locally Advanced, Recurrent, or Metastatic Thymic Carcinoma",
I4T-NS-I028,"PHASE 2/3 STUDY OF TUCATINIB, TRASTUZUMAB, RAMUCIRUMAB AND PACLITAXEL VERSUS PACLITAXEL AND RAMUCIRUMAB IN PREVIOUSLY TREATED HER2+ GASTROESOPHAGEAL CANCER",
I4T-NS-I026,"A PHASE 2, MULTI-CENTER, OPEN-LABEL STUDY OF CINREBAFUSP ALPHA (PRS-343) IN COMBINATION WITH RAMUCIRUMAB AND PACLITAXEL IN PATIENTS WITH HER2-POSITIVE GASTRIC OR GASTROESOPHAGEAL (GEJ) ADENOCARCINOMA",
I4T-JE-O047,Ramucirumab plus Erlotinib versus Osimertinib as first-line treatment for advanced or recurrent non-small cell lung cancer harboring EGFR exon 21 L858R mutation: A multicenter retrospective observational cohort study in Japan,
I4T-FR-O019,Ph II study evaluation of ramucirumab alone or combined with chemotherapy in second line treatment of elderly patients with advanced gastric or gastro-oesophagal junction adenocarcinoma,
I4T-MC-JVDF,"AN OPEN LABEL, MULTICENTER, PHASE 1B/2 STUDY OF RAMUCIRUMAB PLUS PEMBROLIZUMAB (MK3475) IN PATIENTS WITH LOCALLY ADVANCED AND UNRESECTABLE OR METASTATIC GASTRIC OR GASTROESOPHAGEAL JUNCTION (GEJ) ADENOCARCINOMA, NON-SMALL CELL LUNG CANCER (NSCLC), OR TRANSITIONAL CELL CARCINOMA (TCC) OF THE BLADDER, URETHRA, URETER, OR RENAL PELVIS TUMORS.",
I4T-JE-O025,Docetaxel plus Ramucirumab with pegylated granulocyte-colony stimulating factor support for elderly patients with advanced non-small cell lung cancer: A multicenter prospective single arm phase II study: DRAGON study,
I4T-NS-O038,"A pilot study of ramucirumab beyond progression plus TAS-102 in patients with advanced or metastatic adenocarcinoma of the stomach or the gastroesophageal junction, after treatment failure on a ramucirumab based therapy",
I4T-IT-O008,Platinum-Etoposide With or Without Ramucirumab in First Line Treatment of Extensive Disease Small Cell Lung Cancer (SCLC),
I4T-GR-O009,Ramucirumab combined with standard nab-paclitaxel and gemcitabine as first-line chemotherapy in patients with advanced pancreatic adenocarcinoma,
I4T-US-I017,An Open-Label Randomized Phase II Study of Combining Osimertinib with and without Ramucirumab in TKI-naïve EGFR-mutant Locally Advanced or Metastatic NSCLC,
I4T-JE-O032,A phase II trial of ramucirumab plus irinotecan for patients with advanced gastric cancer with early relapse after docetaxel plus Sâ€‘1 adjuvant therapy,
I4T-NS-I021,"Open-label, single-arm trial to evaluate antitumor activity, safety, and pharmacokinetics of SAR408701 used in combination with ramucirumab in metastatic, nonsquamous, non–small-cell lung cancer (NSQ NSCLC) patients with CEACAM5-positive tumors, previously treated with platinum-based chemotherapy and an immune checkpoint inhibitor",
I4T-JE-O044,A Phase II Trial of EGFR-TKI + Ramucirumab for Untreated Epidermal Growth Factor Receptor-mutated Non-small-cell Lung Cancer Patients with brain metastasis,
I4T-SB-O005,"Ram+Irinotecan / Leucovorin / 5-FU versus Ram+Paclitaxel in patients with advanced or metastatic adenocarcinoma of the stomach or GEJ, who failed one prior line of palliative chemotherapy",
I4T-NS-I030,"A PHASE 2/3 STUDY OF ALX148 IN PATIENTS WITH ADVANCED HER2-OVEREXPRESSING 
GASTRIC/GASTROESOPHAGEAL JUNCTION ADENOCARCINOMA (ASPEN-06)",
I4T-US-I009,Phase II Study of Nivolumab and Ramucirumab for Patients with Previously-Treated Mesothelioma,
I4T-MC-I036,"Open-Label, Randomized Phase 2 Trial of Ramucirumab in Combination with Pembrolizumab versus Pembrolizumab Alone as First-Line Treatment of PD-L1 Positive, Recurrent or Metastatic Head and Neck Squamous-Cell Carcinoma.",
I4T-JE-O013,Randomized phase II study of FOLFIRI plus ramucirumab versus FOLFOXIRI plus ramucirumab as first-line treatment in patients with metastatic colorectal cancer,
I4T-JE-O028,A phase II study of second line chemotherapy of FOLFIRI plus Ramucirumab in patients with anti-EGFR antibody refractory RAS wild type unresectable or recurrent colorectal cancer,
I4T-JE-O035,Phase II study of Docetaxel plus Ramucirumab in patient with non-small cell lung cancer after anti-PD-1/PD-L1 antibody +platinum based chemotherapy.,
I4T-US-I005,"A Phase II Study of Ramucirumab with Somatostatin Analog Therapy in Patients with Advanced, Progressive Carcinoid Tumors",
I4T-US-X004,A Phase II trial of Pembrolizumab and Ramucirumab in patients with progressive transitional cell carcinoma after treatment with an immune checkpoint inhibitor,
I4T-US-I007,"Phase II Randomized, Double-Blind Study of mFOLFIRINOX plus Ramucirumab versus mFOLFIRINOX plus placebo in Advanced Pancreatic Cancer Patients HCRN GI14-198",
I4T-JE-O041,Phase III clinical trial comparing the combination of erlotinib plus ramucirumab with osimertinib for untreated advanced or recurrent non-squamous non-small cell lung cancer with EGFR L858R mutation,
I4T-NS-I035,S1900K: A RANDOMIZED PHASE II STUDY OF TEPOTINIB WITH OR WITHOUT RAMUCIRUMAB IN PARTICIPANTS WITH MET EXON 14 SKIPPING POSITIVE STAGE IV OR RECURRENT NON-SMALL CELL LUNG CANCER (LUNG-MAP SUB-STUDY) ,
I4T-JE-O026,Phase III study of Ramucirumab plus docetaxel versus Immune checkpoint inhibitors for 2L treatment of stage IV NSCLC after disease progression on platinum-based therapy,
I4T-US-I013,"Ã¢â‚¬Â¢	Salvage Therapy with Carboplatin, Weekly taxane (Nab-Paclitaxel or Sb-Paclitaxel) and Ramucirumab in Advanced NSCLC after PD on Maintenance Pemetrexed or Pembrolizumab",
I4T-NS-O046,"An open label, single-arm, multicenter phase Ib/II study to evaluate the safety and efficacy of T-Dxd in combination with ramucirumab in patients with HER2 low gastric or gastroesophageal junction (GEJ) adenocarcinoma",
I4T-JE-O029,Phase I study of EGFR-TKI in combination with ramucirumab in patients with previously untreated EGFR mutant NSCLC,
I4T-NS-I025,"A Randomized, Multicenter, Phase 3 Study to Evaluate the Efficacy and Safety of Sintilimab Combined with Ramucirumab as Compared to Chemotherapy for the First-line Treatment of Unresectable Locally Advanced or Metastatic Gastric or Gastroesophageal Junction Adenocarcinoma",
I5F-MC-E002,"GVAX Pancreas Vaccine (with Cyclophosphamide), Pembrolizumab and CSF1R in Adenocarcinoma",
I4T-BP-O003,Planning treatment for oesophago-gastric cancer: a randomised maintenance therapy trial (PLATFORM Trial),
I4T-IT-O004,"""""Assessment of Ram+paclitaxel as switch MANteInance vs continuation of first-line chemotherapy in patients with advanced HER-2 negative gastric or GEJ cancers: the ARMANI PhIII study""""",
I4T-NS-I027,"A Phase 1b/2 study of derazantinib as monotherapy and combination therapy with paclitaxel, ramucirumab or atezolizumab in patients with HER2-negative gastric adenocarcinoma harboring FGFR genetic aberrations (FIDES-03)",
I4T-US-X005,AN INVESTIGATOR-SPONSORED PHASE 2 SINGLE ARM TRIAL OF RAMUCIRUMAB AND PEMBROLIZUMAB IN PATIENTS WITH EGFR MUTANT NON-SMALL CELL LUNG CANCER,
I4T-IT-O006,"Titolo: RAMES: A double-blind, placebo controlled, Ph II Study evaluating Gemcitabine with or without Ramucirumab as II line treatment for advanced malignant pleural mesothelioma",
I4T-US-I014,A Prospective Phase I and II Trial of Ramucirumab + Pembrolizumab in Patients with Recurrent/Metastatic Head and Neck Squamous Cell Carcinoma.,
I4T-NS-I032,"Lung-MAP S1900G: A Randomized Phase II Study of Capmatinib plus Osimertinib (Tagrisso) with or without Ramucirumab in Participants with EGFR-Mutant, MET-Amplified Stage IV Non-Small Cell Lung Cancer",
I4T-SB-O001,Perioperative RAMucirumab in combination with FLOT versus FLOT alone for reSEctable eSophagogastric adenocarcinoma â€“ RAMSES - a phase II/III trial of the AIO and GOIM,
I4T-JE-O033,Phase II study of docetaxel and ramucirumab for previously treated non-small cell lung cancer patients with malignant pleural effusion (PLUERAM),
I4T-NS-I018,A PHASE II STUDY EVALUATING COMBINATION TREATMENT OF TAS-102 AND RAMUCIRUMAB IN PATIENTS WITH METASTATIC GASTRIC CANCER,
I4T-NS-O045,"A phase II study of Ramucirumab (Cyramza®), nal-IRI (ONIVYDE®) and and Trifluridine/Tipiracil (Lonsurf®) in Second Line Metastatic Gastric Cancer (COOL study).",
I4T-US-I016,Ramucirumab and atezolizumab after progression on any immune checkpoint blocker in NSCLC (RamAtezo-1),
I4T-JE-O039,Real World Data of Systemic Therapy for Hepatocellular Carcinoma -Prospective observational study of systemic therapy for HCC in Japan (PRISM)-,
I4T-US-X006,"Systemic management of brain metastases from non-small cell carcinoma of the lungs by using upfront chemotherapy, immunotherapy and anti-angiogenic therapy, a Phase I/II study",
I4T-MC-JVDL,"AN OPEN LABEL, MUL TICENTER, PHASE 1 STUDY WITH EXPANSION COHORTS OF RAMUCIRUMAB OR NECITUMUMAB IN COMBINATION WITH AZD9291 IN PATIENTS WITH ADVANCED T790M-POSITIVE EGFR-MUTANT NON-SMALL CELL LUNG CANCER (NSCLC) AFTER PROGRESSION ON FIRST-LINE EGFR TKI THERAPY",
I4T-JE-O024,Phase II study of ramucirumab and irinotecan combination therapy as second line treatment in metastatic or advanced gastric cancer patients; HGCSG 1603.,
I4T-JE-O034,A randomized controlled phase II trial of Nutrition counseling in Japanese patients with advanced gastric cancer receiving paclitaxel and ramucirumab.,
I4T-US-I037,"Open-Label, Randomized Phase 2 Trial of Ramucirumab in Combination with
Pembrolizumab versus Pembrolizumab Alone as First-Line Treatment of PD-L1 Positive,
Recurrent or Metastatic Head and Neck Squamous-Cell Carcinoma (RM-HNSCC)",
I4T-JE-O016,A phase Ib study of osimertinib plus ramucirumab in EGFR mutated lung cancer patients.,
I4T-NS-I033,S1900I: A Randomized Phase II study of Mobocertinib (TAK-788) with or without Ramucirumab in Participants with Previously Treated EGFR Exon 20 Insertion Non-Small-Cell Lung Cancer (LUNG-MAP SUB-STUDY) ,
I5F-MC-E001,A Phase I/II Study of LY3022855 with BRAF/MEK Inhibition in Patients with Melanoma,
I4T-CA-O007,Eligibility of Patients with Unresectable and Metastatic Gastric or Gastroesophageal Junction (GEJ) Adenocarcinoma for Second Line Therapy in Clinical Practice,
I4T-IT-O010,Phase II Study of carboplatin and paclitaxel in combination with ramucirumab in advanced thymic carcinoma and B3 thymoma,
I4T-US-I022,A Phase II study of poziotinib and ramucirumab in EGFR exon 20 mutant advanced non-small cell lung cancer (NSCLC),
I4T-US-I004,"A Phase II Study of Ramucirumab for Advanced, Pre-treated Biliary Cancers",
I4T-JE-O011,Randomized Ph III Trial of Continuation of Ramucirumab in Combination With Irinotecan in Patients With Advanced Gastric Cancer who Have Experienced Disease Progression on Ramucirumab,
I4T-US-I023,Neoadjuvant ramucirumab plus nivolumab in patients with borderline resectable/locally advanced HCC,
I4T-US-X007,"A Phase II, single-center, open-label study of Ramucirumab, Atezolizumab and N-803 after progression on any immune checkpoint blocker in NSCLC (RAN)",
I4T-NS-I038,IBI 343 (Claudin18.2 ADC) in combination with cyramza in gastric cancer,
I4T-US-I024,Combination of ramucirumab and TAS-102 in patients with recurrent metastatic gastric/gastroesophageal junction adenocarcinoma,
I4T-JE-O049,A Phase II Study of Ramucirumab and Erlotinib in EGFR exon19 deletion mutation positive treatment-naïve Non-Small Cell Lung Cancer Patients with high tumor PD-L1 expression,
I4T-JE-O027,A study of Ramucirumab in combination with Osimertinib in Participants with EGFR Mutation-Positive Metastatic NSCLC,
I4T-US-I015,LungMAP S1800A: a phase II randomized study of ramucirumab plus MK3475 (pembrolizumab) versus standard of care for patients previously treated with immunotherapy for stage IV or recurrent NSCLC (Non-Matched Sub-Study),
I4T-SB-O031,The Phase III Portion of the RAMIRIS study,
I4T-NS-I029,A Phase 2 study in Gastric Cancer CEACAM5 high expressor patients with SAR408701 used in combination with ramucirumab in CEACAM5.,
I4T-KL-O002,Phase II ramucirumab/paclitaxel as second-line treatment in metastatic gastric or GEJ adenocarcinoma with integrative genomic analysis,
I4T-JE-O017,Phase II study of FOLFIRI+Ramucirumab with early recurrent colorectal cancer refractory to adjuvant chemotherapy with oxaliplatin / fluoropyrimidine,
I4T-SB-O020,"Ph II trial of Pac+ Ram vs Pac alone in patients with squamous-cell carcinoma of the esophagus, refractory or intolerant to combo therapy with Fluoropyrimidine and Platinum-based drugs",
I4T-SB-O022,Phase III study of Ramucirumab in combination with TAS102 vs. TAS102 monotherapy in chemotherapy refractory metastatic colorectal cancer patients - RAMTAS,
,Clinical Trial (SAD/MAD incl. JP/CN HVs) LM non-Oncology,
I8B-MC-ITSY,I8B-MC-ITSY- Insulin Only Medtronic Lyumjev Closed Loop Pump Safety Study,
H7K-GH-O004,Single-agent fruquintinib as maintenance therapy after induction of first-line treatment of metastatic colorectal cancer,
H7K-GH-O007,Fruquintinib Combination Chemotherapy for Stage Ⅳ Colorectal Cancer in Preclinical Drug Evaluation,
H7K-GH-O001,Frukuintinib as the second-line treatment for metastatic biliary tract adenocarcinoma,
H7K-AQ-O006,呋喹替尼联合5氟尿嘧啶/亚叶酸钙（5FU/LV）在呋喹替尼治疗进展后的转移性结直肠癌(mCRC)中的Ib/II期研究,
H3E-IT-O060,"Study comparing PEM+GEM testing the efficacy of the addition of cisplatin in elderly patients with non squamous advanced, metastatic or recurrent NSCLC. -MILES 4",
H3E-FR-O076,WINTHER  A study to select rational therapeutics based on the analysis of matched tumor and normal biopsies in subjects with advanced malignancies,
H3E-CA-O081,PHASE II TRIAL OF SELUMETINIB with PEMETREXED AND CISPLATIN CHEMOTHERAPY FOR THE TX OF ADVANCED OR METASTATIC KRAS WILDTYPE OR UNKNOWN NON-SQUAMOUS NSCLC,
H3E-OE-B017,Evaluation of health related qualit of life during consolidation therapy in patients with advanced non-small cell lung cancer (NSCLC),
H3E-EZ-O089,A randomized phase II study of pleurectomy/decortication (P/D) preceded or followed by chemotherapy in patients with early stage malignant pleural mesothelioma (EORTC 1205-LCG),
H3E-BP-O030,CONCEPT: Concurrent chemoradiotherapy  for stage III NSCLC followed by consolidation Pemetrexed: a phase II study,
H3E-GH-O086,Randomized phase II study of pemetrexed alone vs pemetrexed plus cisplatin in patients with EGFR mutation-positive advanced NSCLC after first line EGFR-TKIs failure,
H3E-XM-O020,Study of pemetrexed disodium plus cisplatin as first-line therapy in patients with advanced non-squamous cell lung cancer: a phase IIA pharmacogenomic trial,
H3E-FR-O056,Phase II trial with concurrent pemetrexed cisplatin plus cetuximab regimen and combining chest radiotherapy for patients with non-squamous locally advanced NSCLC,
H3E-US-X083,"Phase II trial of Preoperative Pemetrexed and Carboplatin in Patients with Select Stage IB, II, and III Non-Squamous Non-Small-Cell Lung Cancer",
H3E-CA-O077,A phase Ib study of selumetinib in patients with previously treated or untreated advanced /metastatic  NSCLC who are receiving standard chemotherapy regimens,
H3E-US-X090,Retrospective analysis of the genomic landscape of non-small cell lung cancer (NSCLC) prior to Pemetrexed,
H3E-US-X065,Phase I/II Trial of Gemcitabine/Pemetrexed Combination in patients with advanced cutaneous T-cell lymphoma,
H3E-US-X059,"A Multicenter Phase Study of the Treatment of Recurrent Primary CNS Lymphoma with Alimta (Pemetrexed), a Novel Anti-Folate",
H3E-US-X087,"Randomized Phase III Study of Maintenance Therapy with Bev  Pem , or a Combination of Bev  and Pem  Following Carboplatin, Paclitaxel and Bevacizumab for Adv Non-Squamous NSCLC",
H3E-US-I037,A Phase IB Study of Pembrolizumab in Combination with Pemetrexed and Oxaliplatin in Subjects with Chemo-refractory Metastatic Colorectal Cancer,
H3E-UT-O028,Phase III study of adjuvant chemotherapy with or without low-molecular weight heparin in completely resected nonsmall-cell lung cancer patients with high-risk for recurrence: NVALT- 8B.,
H3E-PL-O071,Molecular targeted pemetrexed therapy in advanced NSCLC: an effect of thymidylate synthase gene locus mutations,
H3E-JE-O064,Randomized Phase III Study of Cisplatin + Pemetrexed and Cisplatin + Vinorelbine for Completely Resected Non-squamous Non-Small Cell Lung Cancer,
H3E-MC-I040,"Phase III Study Comparing Osimertinib Monotherapy to Combination Therapy with Osimertinib,Carboplatin and Pemetrexed for Untreated Patients with Advanced Non-squamous Non-Small Cell Lung Cancer With concurrent EGFR and TP53 Mutations",
H3E-US-I027,Phase I/II Clinical Trial of Combined Re-irradiation with Pem+Erlotinb Followed By Maintenance Erlotinib  Recurrent and Second Primary SCCHN,
H3E-UT-O065,"Dose escalation by boosting radiation dose within primary tumor on the basis of a pre treatment FDG-PET-CT scan in stage IB, II-III NSCLC: A randomised Phase II Trial.",
H3E-NS-O090,DARWIN2 Study (NCT02314481),
H3E-SZ-O057,"SAKK 19/09. Bevacizumab, pemetrexed and cisplatin, or erlotinib and bevacizumab for advanced non-squamous NSCLC stratified by EGFR mutation status. (BIO-PRO trial).",
H3E-FR-O067,Phase II trial evaluatingcarbo+pem in Human Immunodeficiency Virus positive (HIV+) patients w/ stage III (not amenable to radiation or inoperable) or stage IV nonsquamous NSCLC,
H3E-FR-O075,"Phase III trial comparing brain radiotherapy followed by chemo  with chem  alone in patients with non-epidermoid, NSCLC with asymptomatic brain metastases",
H3E-SB-O069,Randomized Phase-II Trial of Three-weekly Cisplatinum and Pemetrexed versus Split-dose d1 and d8 Cisplatinum and Pemetrexed In Advanced and Inoperable Non-squamous NSCLC,
H3E-US-X088,"Phase II Study of Pemetrexed with Sorafineb in advanced, HER2 Negative breast cancer",
H3E-XM-O054,Study of pemetrexed disodium plus oral vinorelbine in patients with advanced non-squamous cell lung cancer: a phase I/II trial,
H3E-MK-I038,"A Phase3 Randomized, Placebo-controlled Study to Evaluate the Safety and Efficacy of Pemetrexed + Platinum Chemotherapy + Pembrolizumab (MK-3475) with or without Lenvatinib (E7080/MK-7902) as First-line Intervention in Participants with Metastatic Nonsquamous Non-small Cell Lung Cancer (LEAP-006)",
H3E-BP-O082,Platinum and pemetrexed rechallenge in patients with malignant pleural mesothelioma (MPM).,
H3E-UT-O085,First line chemotherapy in KRAS mutated non-small cell lung cancer patients: a Phase III comparing cisplatin-pemetrexed with carboplatin-paclitaxel-bevacizumab: NVALT 22,
H3E-GH-O087,Phase II study of adjuvant chemotherapy with pemetrexed and cisplatin followed by pemetrexed single-agent consolidation in patients with completely resected stage II/IIIA lung adenocarcinoma,
H3E-US-X091,Pemetrexed for Progressive Chordoma,
H3E-SB-O015,phase 2 of alimta combined with paclitaxel in thyroid cancer,
H3E-MK-I039,"A Randomized, Double-Blind, Phase 3 Study of Pemetrexed + Platinum Chemotherapy with or without Pembrolizumab (MK-3475) in TKI-resistant EGFR-mutated Tumors in Metastatic Non-squamous Non-small Cell Lung Cancer (NSCLC) Participants (KEYNOTE-789)",
I2V-MC-E001,Phase 1b Study of LY251092 in Combination with Idarubicin and Cytarabine in AML,
I3Y-US-I034,A phase 1/2 study of abemaciclib and docetaxel for patients with SMARCA4-mutant lung cancer,
I3Y-NS-O007,Abemaciclib in combination with fulvestrant and/or trastuzumab in patients with breast cancer accompanied by brain metastasis,
I3Y-US-I025,"Multicenter, open-label, phase Ib followed by three arm, randomized phase II neoadjuvant trial evaluating DS8201a versus DS8201a plus endocrine therapy versus DS8201a plus abemaciclib and endocrine therapy in women with hormone receptor positive, HER2-low",
I3Y-US-X012,GENOMICALLY-GUIDED TREATMENT TRIAL IN BRAIN METASTASES,
I3Y-MC-I051,Serial Measurements of Molecular and Architectural Responses to Therapy (SMMART) Trial: Adaptive Clinical Treatment (ACT),
I3Y-MC-E017,A PHASE 1 TRIAL OF SELUMETANIB PLUS ABEMACICLIB FOR METASTATIC RAS MUTATED MALIGNANCIES,
I3Y-JE-O028,Innovation of the 1st line strategy optimized as abemaciclib with endocrine therapy based on the ESR1 mutation of ctDNA for HR-positive HER2-negative advanced metastatic breast cancer patients(JBCRG-M08) - Multi-institutional phase 2 trial -,
I6A-MC-E005,"A Phase 2, Two-Group, Two-Stage, Study of LY3023414 and Abemaciclib with or without Letrozole in Recurrent or Persistent Endometrial Cancer",
I3Y-MC-E009,Phase II study of abemaciclib in recurrent GBM patients with CDKN2A/B loss and intact RB,
I3Y-RH-I014,"A PHASE Ib/II, OPEN-LABEL, MULTICENTER, RANDOMIZED UMBRELLA STUDY EVALUATING THE EFFICACY AND SAFETY OF MULTIPLE IMMUNOTHERAPY-BASED TREATMENT COMBINATIONS IN PATIENTS WITH HORMONE RECEPTORPOSITIVE HER2-NEGATIVE BREAST CANCER (MORPHEUS-HR BREAST CANCER",
I3Y-NS-I033,"A Phase 1b Dose Escalation and Expansion Study to Evaluate the Safety and Tolerability of LP-118 and Abemaciclib in Relapsed or Refractory Acute Myeloid Leukemia

",
I3Y-US-X003,"Immune Modulation by Abemaciclib in HPV-Negative Head and Neck
Squamous Cell Carcinoma (HNSCC): A Phase II Window Trial",
I3Y-NS-JPEB,"A PHASE 1B STUDY OF ZN c5 IN COMBINATION
WITH ABEMACICLIB IN PATIENTS WITH ESTROGEN RECEPTOR POSITIVE, HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2 NEGATIVE ADVANCED BREAST CANCER",
I3Y-NS-O021,Perceptions and Experiences of Abemaciclib and Endocrine TherapY,
I3Y-MC-I042,A single arm phase 1/2 trial of abemaciclib + VS-6766 + fulvestrant in metastatic HR+/HER2- breast cancer,
I3Y-MC-E020,I-SPY 2 EOP,
I3Y-US-I030,"A phase I study of ruxolitinib plus abemaciclib for patients 
with primary or post-polycythemia vera/essential 
thrombocythemia myelofibrosis",
I3Y-MC-E005,Phase IIA clinical trial of Abemaciclib in CDKN2A deleted Mesothelioma,
I3Y-US-I011,"Modulation of High-Grade Glioma Microenvironment with Pembrolizumab Combined with Pemetrexed, Abemaciclib, or ValloVax.",
I3Y-NS-O005,"ADAPTLAte: A randomized, controlled, open-label, phase-III trial on Adjuvant Dynamic marker - Adjusted Personalized Therapy comparing abemaciclib combined with standard adjuvant endocrine therapy versus standard adjuvant endocrine therapy in (clinical or genomic) high risk,
HR+/HER2- early breast cancer",
I3Y-NS-O012,"Phase II, randomized, open-label, international, multicenter study to compare efficacy of standard chemotherapy vs. letrozole plus abemaciclib as neoadjuvant therapy in HR-positive/HER2-negative high/intermediate risk breast cancer patients",
I3Y-US-X022,A PHASE II STUDY OF THE COMBINATION OF GEMCITABINE AND CISPLATIN WITH ABEMACICLIB,
I3Y-MC-E006,Phase 2 Study of Abemaciclib in Dedifferentiated Liposarcoma,
I3Y-MC-E004,A phase II Study to Investigate the Efficacy of Abemaciclib in Advanced Biliary Tract Carcinoma,
I3Y-US-X020,"Analysis of ctDNA in Patients with Hormone-Receptor Positive, HER2-Negative Breast Cancer Receiving Adjuvant Abemaciclib and Endocrine Therapy",
I3Y-NS-I055,Verzenio in combination with PRMT5 inhibitor in MTAP del tumors with a GBM arm.,
I3Y-US-X007,Efficacy of Abemaciclib (CDK4/6 inhibitor) in Small Cell Lung Cancer,
I3Y-US-I016,A Phase II Trial of Abemaciclib with or without Atezolizumab in Metastatic Castration Resistant Prostate Cancer,
I3Y-GH-O033,Precision Treatment of HR+ HER2- Metastatic Breast Cancer Based on Molecular Subtyping,
I3Y-US-X008,A Phase I/II Study of the Cyclin-Dependent Kinase (CDK)4/6 Inhibitor Abemaciclib for Neurofibromatosis Type I (NF1) Related Atypical Neurofibromas,
I3Y-US-X010,Abemaciclib+ Hydroxychloroquine (HCQ) in refractory malignancies.,
I3Y-NS-JPCZ,"An Open, Multicenter, Single Arm Safety Study Evaluating the Safety and Tolerability of the Combination of Lasofoxifene and Abemaciclib for the Treatment of Postmenopausal Women with Locally Advanced or Metastatic ER+/HER2− Breast Cancer",
I3Y-US-I045,The TRADE study:  A Phase 2 Trial to Assess the ToleRability of Abemaciclib Dose-Escalation in Patients with Early-Stage HR-positive and HER2-negative Breast Cancer,
I3Y-MC-E015,Fulvestrant in Combination with Abemaciclib in ER positive Endometroid Adenocarcinoma,
I3Y-US-I012,Phase II trial of abemaciclib and pembrolizumab for recurrent glioblastoma,
I3Y-NS-O020,Efficacy and response prediction for combined CDK4/6 inhibitor and endocrine therapy  in low-grade serous ovarian cancer–  a collaborative phase II trial of the AGO study group,
I3Y-US-I039,"A Phase 2 Multicenter, Double-blind, Randomized-controlled Study of Abemaciclib (CDK4 and 6 inhibitor) in Newly Diagnosed RB-proficient Grade 3 Meningioma Participants",
B9R-US-X020,Growth Hormone Therapy in Osteogenesis Imperfecta,
I3Y-IT-O002,"An exploratory, Phase 2, single arm trial evaluating the activity and safety of Abemaciclib+ Aromatase Inhibitors (AIs) after 1st-line treatment with High-Dose Fulvestrant (HD-FUL) in HR+/HER2- advanced breast cancer patients – The HERMIONE-7 trial",
I3Y-US-I052,"Ph2 trial of irradiation alone vs. irradiation plus abemaciclib in RB-intact high-risk meningioma 
",
